Reference,Customer,Part,Description,PONUM,VENDOR,QTY,CODE,ETA,COMPLETE,STATUS,NOTES,PRICE,SUBASSEMBLY,
EI-13946-TK,Gemcor,REWORK,Fabricate Outer Column,EH-2204-01,Dawid Mfg.,8,Order,7/27/2022,checked,[Remove],"7/27/22 Received. DB

7/26/22 Leigh Dawid, President, Dawid Manufacturing Inc.
26 Beaver Street, Ansonia, CT 06401
Best contact: Cell: 203-218-6998
2nd Best contact: dawidinfo@ap-mfg.com
3rd Best contact (no office) Ph: 203-734-1800, ext 302   

7/26/22 ETA from YRC is 7/27/22. DB

7/19/22 Ready to ship back today after lunch. Sent BOL to Dawid to pick up shipment on 7/20/22. YRC tracking # 670-846671-X. DB

7/12/22 Leigh returned email: Job is in progress, expected to be completed next week, Tues/Wed. DB 

7/11/22 Emailed Leigh for update. DB

6/21/22 Leigh responded by email to inquiry: We have scheduled to get back on the job. We expect to finish in 3-4 weeks. DB

6/16/22 Matt removed hold & req'd ETA. DB

5/10/22 Leigh called back: Placed hold on order today. All are tooled and 1 pc has hole drilled. 

5/10/22 Called again, no answer/voicemail. Emailed again for confirmation that order is on hold. DB

[5/6/2022]
Matt tried calling the office on any extension but all mailboxes are full and nobody is answering the phone. Matt emailed Leigh requesting to put the order on hold.

This order is on hold until Ted comes back from the customer. We will decide how to proceed from there
----------------------------------------------
4/26/2022 Rec'd order back for reworking on 4/25, will take 2-3 weeks. DB

4/19/2022 Parts shipped to Dawid for reworking YRC 656-776389-2. DB

4/8/22 Parts not shipped back to Dawig yet. Matt & Doreen have called yet unable to reach Leigh, mailbox is full. Sent email requesting Leigh to call Matt directly for details. DB
--------------------------------------------

",$200.00 ,2-COLUMN,
EI-13946-TK,Gemcor,REWORK,Fabricate Inner Column,EH-2204-01,Dawid Mfg.,8,Order,7/27/2022,checked,[Remove],"7/27/22 Received. DB

7/26/22 Leigh Dawid, President, Dawid Manufacturing Inc.
26 Beaver Street 
Ansonia, CT 06401
Best contact: Cell: 203-218-6998
2nd Best contact: dawidinfo@ap-mfg.com
3rd Best contact (no office) Ph: 203-734-1800, ext 302   

7/26/22 ETA from YRC is 7/27/22. DB

7/19/22 Ready to ship back today after lunch. Sent BOL to Dawid to pick up shipment on 7/20/22. YRC tracking # 670-846671-X. DB

7/12/22 Leigh returned email: Job is in progress, expected to be completed next week, Tues/Wed. DB 

7/11/22 Emailed Leigh for update. DB

6/21/22 Leigh responded by email to inquiry: We have scheduled to get back on the job. We expect to finish in 3-4 weeks. DB

6/16/22 Matt removed hold & req'd ETA. DB

5/10/22 Leigh called back: Placed hold on order today. All are tooled and 1 pc has hole drilled. 


5/10/22 Called again, no answer/voicemail. Emailed again for confirmation that order is on hold. DB

[5/6/2022]
Matt tried calling the office on any extension but all mailboxes are full and nobody is answering the phone. Matt emailed Leigh requesting to put the order on hold.

This order is on hold until Ted comes back from the customer. We will decide how to proceed from there
----------------------------------------------

4/26/2022 Rec'd order back for reworking on 4/25, will take 2-3 weeks. DB

4/19/2022 Parts shipped to Dawid for reworking YRC 656-776389-2. DB

4/8/22 Parts not shipped back to Dawig yet. Matt & Doreen have called yet unable to reach Leigh, mailbox is full. Sent email requesting Leigh to call Matt directly for details. DB
--------------------------------------------
",$240.00 ,2-COLUMN,
EI-13946-TK,Gemcor,***Column Paint,***Column Paint (Gray),,C.A.T.,16,Order,,,,,,,
EI-13946-TK,Gemcor,EIP410,Plastic Slide,,,48,Inventory,,checked,,,$2.00 ,2-COLUMN,
EI-13946-TK,Gemcor,ES180202-B-H,Column Top Actuator Mount,,,8,Machine,,checked,MTL IN HOUSE,ALUMINUM,$50.00 ,2-COLUMN,
EI-13946-TK,Gemcor,EIP423-TopPlate Gemcor,Modified EIP423,,,8,Inventory,,checked,,MODIFY PLATE,$75.00 ,2-COLUMN,
EI-13946-TK,Gemcor,MISC PARTS,"ES220201-G, Plat Pattern (1), Sand Blast, Powder Coat",MT-220622-2,Globe Trailers,8,Order,,checked,[Remove],"ES220201-G
---------------------
Top Column Saddle",$145.00 ,3-TOP,
EI-13946-TK,Gemcor,ES220201-D,Top Weld Tube - D,,,4,Machine,,checked,,STEEL-WELD,$120.00 ,3-TOP,
EI-13946-TK,Gemcor,ES220201-E,Top Weld Tube - E,,,4,Machine,,checked,,STEEL-WELD,$86.00 ,3-TOP,
EI-13946-TK,Gemcor,ES220201-F,Top Weld Tube - F,,,8,Machine,,checked,,STEEL-WELD,$86.00 ,3-TOP,
EI-13946-TK,Gemcor,ES220201-H,Top Weld Tube - H,,,8,Machine,,checked,,STEEL-WELD,$20.00 ,3-TOP,
EI-13946-TK,Gemcor,ES220201-J,Top Weld Tube - J,,,2,Machine,,checked,,STEEL-WELD,$86.00 ,3-TOP,
EI-13946-TK,Gemcor,ES220201-K,Top Weld Tube - K,,,8,Machine,,checked,,STEEL-WELD,$20.00 ,3-TOP,
EI-13946-TK,Gemcor,ES220201-L,Top Weld Tube - L,,,4,Machine,,checked,,STEEL-WELD,$70.00 ,3-TOP,
EI-13946-TK,Gemcor,ES220201-M,Top Weld Tube - M,,,4,Machine,,checked,,STEEL-WELD,$13.00 ,3-TOP,
EI-13946-TK,Gemcor,ES220201-N,Top Weld Tube - N,,,8,Machine,,checked,,STEEL-WELD,$30.00 ,3-TOP,
EI-13946-TK,Gemcor,***Top Weldment,***Top Weldment,,Dan Kuntz,2,Order,,checked,,,$495.00 ,3-TOP,
EI-13946-TK,Gemcor,***Top Paint,***Top Paint (Wet Black),,C.A.T.,2,Order,,,,,$0.00 ,3-TOP,
EI-13946-TK,Gemcor,EI-TABLETOP,Gemcore Table TOp,EH-2204-15,Woodcrafters,2,Order,8/23/2022,,Ordered,"8/25/22 LMOM for update on tabletop. DB

8/18/22 941-751-6610 Located in Bradenton for pick up per contract. 

8/9/22 Drove over to Vendor, they are still in business, phone & internet is not working and may not for a while. Tabletop in production, Estimated completion date is 2 weeks. DB

8/4/22 Voicemail box was full, emailed at  wewiii@aol.com for an estimated completion date. DB

7/26/22 Voicemail box was full, emailed at  wewiii@aol.com for an estimated completion date. Called again, no answer on 7/27/22. DB

6/17/22 Matt & Ed are working on this. DB

6/2/22 Order still on hold as per Ed. DB

5/24/22 Ted going to Gemcor 5/25 to discuss a possible order. DB

5/18/22 Ted provided update that Matt had placed table on hold until we decide if Ergotronix is taking the order or not. DB

5/10/22 Email to Ted:  My customer has decided not to make the tables larger, please continue with the original size tables. Let me know if the June 30th date for the shipment is still good.

5/5/22 Ed confirmed order is not placed at this time. Waiting for Customer to provide information.
Need to call Woodcrafters to notify if order is to be in 1 or 2 pieces. DB
----------------------------------------------
[5/6/2022]
This is currently on hold until we hear back from Ted on the status of the Gemcor 
----------------------------------------------","$1,450.00 ",3-TOP,
EI-13946-TK,Gemcor,ES220201-R,Bridge Bracket,,,4,Machine,,,,ALUMINUM,$40.00 ,3-TOP,
ET-13987-H,Chromalloy,ETP021-ET220113,"Extended Mast - 87.5""",,,1,Machine,,checked,,,$0.00 ,2-MAST,
ET-13987-H,Chromalloy,ETP604-ET220113,Extended ET600 Rails,EH-2205-02,Ewellix USA,2,Order,5/13/2022,checked,[Remove],"PAID IN FULL 5/16/22. DB

7/12/22 AKA SKF, 267-436-6785, 267-436-6036, 800-313-4753

7/12/22 Shipped in 2 orders;
1Z86WA420359953450
1Z86WA420358545867
ETA 7/13/22. DB

5/12/22 Marked for removal. DB

5/12/22 Rec'd. DB

5/9/22 Called 800# for tracking 1Z86WA420352644332, Label made-not picked up yet. DB


",$0.00 ,2-MAST,
ET-13987-H,Chromalloy,ETP606,Angle Iron,,,1,Inventory,,checked,,,$0.00 ,2-MAST,
ET-13987-H,Chromalloy,ETP119,Brushes,,,1,Inventory,,checked,,,$0.00 ,2-MAST,
ET-13987-H,Chromalloy,ETP018-ET220113,Extended Ball Screw,,,1,Machine,,checked,,,$0.00 ,2-MAST,
ET-13987-H,Chromalloy,Chromalloy Baseplate,**** Chromalloy Baseplate,,,1,Machine,,checked,ALUMINUM,0.75 X 13 X 21,$0.00 ,1-BASE,
ET-13987-H,Chromalloy,ET220113J,**** Base Big Side Plate,,,1,Machine,,checked,ALUMINUM,0.75 X 4 X 20.5,$0.00 ,1-BASE,
ET-13987-H,Chromalloy,ET220113K,**** Base Small Side Plate,,,2,Machine,,checked,ALUMINUM,0.25 X 4 X 11.25,$0.00 ,1-BASE,
ET-13987-H,Chromalloy,ET220113C,**** Base Indexing Plate,,,1,Machine,,checked,ALUMINUM,0.75 X 14 X 14,$0.00 ,1-BASE,
ET-13987-H,Chromalloy,ET220113V,Side Plate Back,,,1,Machine,,checked,ALUMINUM,,$0.00 ,1-BASE,
ET-13987-H,Chromalloy,**** ETP1010-ET220113,**** Mast Support,,,1,Machine,,checked,ALUMINUM,0.75 X 8 X 14,$0.00 ,1-BASE,
ET-13987-H,Chromalloy,ET220113B,**** Motor Mount,,,1,Machine,,checked,ALUMINUM,0.5 X 4 X 8,$0.00 ,1-BASE,
ET-13987-H,Chromalloy,ET220113A,Base Upper Bearing Carrier,,,1,Machine,,checked,ALUMINUM,0.625 X 2.5 X 3.5,$0.00 ,1-BASE,
ET-13987-H,Chromalloy,60355K22,Ball Bearing,,McMaster,1,Order,,checked,,,$0.00 ,1-BASE,
ET-13987-H,Chromalloy,EHP455,Chief Tapered Bearing A,,,1,Inventory,,checked,,,$0.00 ,1-BASE,
ET-13987-H,Chromalloy,EHP456,Chief Tapered Bearing B,,,1,Inventory,,checked,,,$0.00 ,1-BASE,
ET-13987-H,Chromalloy,Power Supply,Mean-Well HEP-600-24,,TRC,1,Order,,checked,,"Earl ordered this outside of SAGE through TRC. 
Mean-Well HEP-600-24
Order Number: 341210
Customer Purchase Order: Web
Order Date: 5/9/2022
Qty: 2
Price: $264 ea
Cost: $528
",$0.00 ,1-BASE,
ET-13987-H,Chromalloy,ET220113S,Fixed Base Shaft,,,1,Machine,,checked,STEEL-WELD,,$0.00 ,0-SWIVEL,
ET-13987-H,Chromalloy,ET220113G,Fixed Base Shaft Mount Plate,,,1,Machine,,checked,STEEL-WELD,0.25 PLATE,$0.00 ,0-SWIVEL,
ET-13987-H,Chromalloy,ET220113E,Fixed Base Cross,,,2,Machine,,checked,STEEL-WELD,TUBE 2X2,$0.00 ,0-SWIVEL,
ET-13987-H,Chromalloy,ET220113F + ET220113H,Fixed Base Angle,,,2,Machine,,checked,STEEL-WELD,ANGLE 2X3,$0.00 ,0-SWIVEL,
ET-13987-H,Chromalloy,ET220113P,Fixed Base Ears,,,2,Machine,,checked,STEEL-WELD,0.25 X 1.5 X 3,$0.00 ,0-SWIVEL,
ET-13987-H,Chromalloy,ET220113U,Fixed Base Shaft Propeller Big,,,2,Machine,,checked,STEEL-WELD,,$0.00 ,0-SWIVEL,
ET-13987-H,Chromalloy,ET220113T,Fixed Base Shaft Propeller Small,,,1,Machine,,checked,STEEL-WELD,,$0.00 ,0-SWIVEL,
ET-13987-H,Chromalloy,Fixed Base Spring,**** Fixed Base Spring,,McMaster,2,Order,,checked,,,$0.00 ,0-SWIVEL,
ET-13987-H,Chromalloy,Fixed Base Bushings,**** Fixed Base Bushings,,McMaster,2,Order,,checked,,,$0.00 ,0-SWIVEL,
ET-13987-H,Chromalloy,ET220113L,Fixed Base Latch Pedal Shaft,,,1,Machine,,checked,STEEL,,$0.00 ,0-SWIVEL,
ET-13987-H,Chromalloy,ET220113Q,Fixed Base Latch Pedal,,,1,Machine,,checked,ALUMINUM,0.25 X 4 X 7,$0.00 ,0-SWIVEL,
ET-13987-H,Chromalloy,ET220113M,Fixed Base Latch Peg,,,1,Machine,,checked,STEEL,,$0.00 ,0-SWIVEL,
ET-13987-H,Chromalloy,ET220113R,Fixed Base Latch Block,,,2,Machine,,checked,ALUMINUM,0.75 X 0.75 X 2,$0.00 ,0-SWIVEL,
ET-13987-H,Chromalloy,6436K16,Clamp,,McMaster,2,Order,,checked,,,$0.00 ,0-SWIVEL,
ET-13987-H,Chromalloy,6436K21,Clamp,,McMaster,1,Order,,checked,,,$0.00 ,0-SWIVEL,
ET-14103-TK,Gillette,ET220402-ETP070,Ext-Base,,,1,Machine,,checked,,,,0-BASE,
ET-14103-TK,Gillette,ETP052-ET220402,Custom Spacers,,,4,Machine,,checked,,,,0-BASE,
ET-14103-TK,Gillette,ET-CASTER3IN,"3"" Front Casters",,,2,Inventory,,checked,,,,0-BASE,
ET-14103-TK,Gillette,ET220402-B,"VERTICAL SUPPORT, MAIN",,,1,Machine,,checked,,STEEL-WELD,,1-BOOM,
ET-14103-TK,Gillette,ET220402-C,"ANGLED SUPPORT, MAIN",,,1,Machine,,checked,,STEEL-WELD,,1-BOOM,
ET-14103-TK,Gillette,ET220402-A,"HORIZONTAL SUPPORT, MAIN",,,1,Machine,,checked,,STEEL-WELD,,1-BOOM,
ET-14103-TK,Gillette,ET220402-F,CROSS SUPPORT,,,2,Machine,,checked,,STEEL-WELD,,1-BOOM,
ET-14103-TK,Gillette,ET220402-E,"RAIL, MAIN TROLLEY",,,1,Machine,,checked,,STEEL-WELD,,1-BOOM,
ET-14103-TK,Gillette,ET220402-M,END PLATE,,,1,Machine,,checked,,STEEL-WELD,,1-BOOM,
ET-14103-TK,Gillette,ET220402-D,"SUPPORT, ROD",,,2,Machine,,checked,,STEEL-WELD,,1-BOOM,
ET-14103-TK,Gillette,ET220402-G,"GROUND SHAFT, PRECISION TROLLEY",,,1,Machine,,checked,,Precision Ground,,2-SLIDE,
ET-14103-TK,Gillette,ET220402-J,"MOUNT, HOOK",,,2,Machine,,checked,,STEEL,,2-SLIDE,
ET-14103-TK,Gillette,ET220402-K,"BEARING BRACKET, LOWER",,,1,Machine,,checked,,ALUMINUM,,2-SLIDE,
ET-14103-TK,Gillette,ET220402-L,"BEARING MOUNT, UPPER",,,1,Machine,,checked,,ALUMINUM,,2-SLIDE,
ET-14103-TK,Gillette,3525T619,Hook,,McMaster,1,Order,,checked,,,,2-SLIDE,
ET-14103-TK,Gillette,EHP218,Ergo Chief  NB Bearing,,,1,Inventory,,checked,,,,2-SLIDE,
ET-14103-TK,Gillette,5634K590,Handle,,McMaster,1,Order,,checked,,,,2-SLIDE,
ET-14103-TK,Gillette,92311A718,Threaded Rod - Handle,,McMaster,1,Hardware,,checked,,,,2-SLIDE,
ET-14103-TK,Gillette,9452K38,O-Ring Bumper Stop,,McMaster,2,Hardware,,checked,,,,2-SLIDE,
ET-14103-TK,Gillette,92949A72,HW,,McMaster,1,Hardware,,checked,,,,2-SLIDE,
ET-14103-TK,Gillette,92196A544,HW,,McMaster,2,Hardware,,checked,,,,2-SLIDE,
EH-14074-H,Advanced Airfoil ,ET211215H,Pedestal Bottom Mount,,,2,Machine,,checked,,STEEL-WELD,$0.00 ,1-BASE,
EH-14074-H,Advanced Airfoil ,ET211215J,Pedestal Vertical support,,,4,Machine,,checked,,STEEL-WELD,$0.00 ,1-BASE,
EH-14074-H,Advanced Airfoil ,ET211215K,Pedestal Outside Support,,,2,Machine,,checked,,STEEL-WELD,$0.00 ,1-BASE,
EH-14074-H,Advanced Airfoil ,ET211215L,Pedestal Inside Support,,,1,Machine,,checked,,STEEL-WELD,$0.00 ,1-BASE,
EH-14074-H,Advanced Airfoil ,ET211215M,Pedestal Support Bracket,,,2,Machine,,checked,,STEEL-WELD,$0.00 ,1-BASE,
EH-14074-H,Advanced Airfoil ,ET211215G,Pedestal Top Mount,,,2,Machine,,checked,,STEEL-WELD,$0.00 ,1-BASE,
ET-14073-H,Amazon,"ET-CASTER4""-600lbs.",ET600 Casters,,,2,Inventory,,,NOT READY,,$0.00 ,0-BASE,
ET-14073-H,Amazon,CUSTOMER SPEC  MAT,Amazon base plate per attached drawing,EH-2207-05,Die-Verse Tool & Mfg.,1,Order,7/27/2022,checked,[Remove],"7/28/22  Picked up Base Plate by DB today.

7/27/22 941-723-2288, ETP1001-ET220303----Custom Extended Base Plate

7/27/22 Laurie called: Our base is ready for pick up - they are open until 4:30pm. DB

7/19/22 Called and left message with Chris to have Laurie call me back as she's at lunch. Material received today and in production. should ship 8/8/22. DB","$1,485.00 ",0-BASE,
ET-14073-H,Amazon,ETP1005 ET220303,Custom Extended Legs,,Die-Verse,2,Machine,,checked,READY,"ALUMINUM
MTL COST: $65
LABOR: 1 HR",$115.00 ,0-BASE,
ET-14073-H,Amazon,Leg Stiffener,Leg Stiffener,,,2,Machine,,checked,READY,"ALUMINUM
MTL COST: $65
LABOR: 1 HR",$115.00 ,0-BASE,
ET-14073-H,Amazon,Base Plate Stiffener,Base Plate Stiffener,,,1,Machine,,checked,READY,"ALUMINUM
MTL: $125
LABOR: 2 HR",$225.00 ,0-BASE,
ET-14073-H,Amazon,Base Buttress,Base Buttress,,,2,Machine,,checked,READY,"ALUMINUM
MTL COST: $0 - SCRAP SHELF
LABOR: 1.5 HR",$75.00 ,0-BASE,
ET-14073-H,Amazon,ETP057-Amazon,Custom Caster Control Bar,,,1,Machine,,,,STAINLESS STEEL,$0.00 ,0-BASE,
ET-14073-H,Amazon,Bar Support,Bar Support,,,2,Machine,,checked,READY,"ALUMINUM
MTL: $0 - SCRAP SHELF
LABOR: 2 HR",$50.00 ,0-BASE,
ET-14073-H,Amazon,ETP021-ET220303,"EXT ET650 MAST 79""",,,1,Machine,,checked,,"MTL COST: $140 (PER SAGE)
LABOR: 3 HR",$300.00 ,1-MAST,
ET-14073-H,Amazon,ETP606,Angle Iron,,,1,Inventory,,checked,,,$27.00 ,1-MAST,
ET-14073-H,Amazon,ETP105-ET220303,"EXT ET650 BALL SCREW 79.5""",,,1,Machine,,checked,,"MTL COST: $340.28 (PER SAGE)
LABOR: 3 HR",$500.00 ,1-MAST,
ET-14073-H,Amazon,ETP119,Brushes,,,1,Inventory,,checked,,,$25.00 ,1-MAST,
ET-14073-H,Amazon,ETP604-ET220303,"Extended Rails 79""",,Ewellix,1,Order,,checked,,Amazon LLTHR 15-2006.6 P5/E38,$264.37 ,1-MAST,
ET-14073-H,Amazon,FRAME 104 WELDMENT,FRAME 104 WELDMENT,,Dan Kuntz,1,Order,,,,,$0.00 ,2-BACK FRAME,
ET-14073-H,Amazon,Back Frame 001,Back Frame 001,,,1,Machine,,checked,MTL IN HOUSE,"WELD-STAINLESS STEEL
MTL COST: $91
LABOR: 2 HR",$191.00 ,2-BACK FRAME,checked
ET-14073-H,Amazon,Back Frame 012,Back Frame 012,,,1,Machine,,checked,MTL IN HOUSE,WELD-STAINLESS STEEL,$116.00 ,2-BACK FRAME,checked
ET-14073-H,Amazon,Back Frame 003,Back Frame 003,,,2,Machine,,checked,MTL IN HOUSE,"WELD-STAINLESS STEEL
MTL COST: $91
LABOR: 1 HR",$141.00 ,2-BACK FRAME,checked
ET-14073-H,Amazon,Back Frame 004,Back Frame 004,,,1,Machine,,checked,MTL IN HOUSE,"WELD-STAINLESS STEEL
MTL COST: $91
LABOR: 1 HR",$141.00 ,2-BACK FRAME,checked
ET-14073-H,Amazon,Arm Frame 010,Arm Frame 010,,,2,Machine,,checked,MTL IN HOUSE,"WELD-STAINLESS STEEL
MTL COST: $91
LABOR: 1 HR",$141.00 ,2-BACK FRAME,checked
ET-14073-H,Amazon,Back Frame 013,Back Frame 013,,,2,Machine,,checked,MTL IN HOUSE,"WELD-STAINLESS STEEL
MTL COST: $91
LABOR: 0.5 HR",$116.00 ,2-BACK FRAME,checked
ET-14073-H,Amazon,Arm Frame 101,Arm Frame 101,,Dan Kuntz,1,Order,,,,,$0.00 ,3-BOTH ARMS,
ET-14073-H,Amazon,Arm Frame 102,Arm Frame 102,,Dan Kuntz,1,Order,,,,,$0.00 ,3-BOTH ARMS,
ET-14073-H,Amazon,Arm Frame 020,Arm Frame 020,,,1,Machine,,checked,MTL IN HOUSE,"WELD-STAINLESS STEEL
MTL COST: $91
LABOR: 1.5 HR",$166.00 ,3-SIDE ARM 101,checked
ET-14073-H,Amazon,Arm Frame 016,Arm Frame 016,,,1,Machine,,checked,MTL IN HOUSE,"WELD-STAINLESS STEEL
MTL COST: $91
LABOR: 1 HR",$141.00 ,3-SIDE ARM 101,checked
ET-14073-H,Amazon,Arm Frame 012,Arm Frame 012,,,2,Machine,,checked,MTL IN HOUSE,"WELD-STAINLESS STEEL
MTL COST: $91
LABOR: 0.5 HR",$116.00 ,3-BOTH ARMS,checked
ET-14073-H,Amazon,Arm Frame 017,Arm Frame 017,,,2,Machine,,checked,MTL IN HOUSE,"WELD-STAINLESS STEEL
MTL COST: $91
LABOR: 0.5 HR",$116.00 ,3-BOTH ARMS,checked
ET-14073-H,Amazon,Arm Frame 011,Arm Frame 011,,,2,Machine,,checked,MTL IN HOUSE,"WELD-STAINLESS STEEL
MTL COST: $91
LABOR: 0.5 HR",$116.00 ,3-BOTH ARMS,checked
ET-14073-H,Amazon,Arm Frame 007,Arm Frame 007,,,2,Machine,,checked,MTL IN HOUSE,"WELD-STAINLESS STEEL
MTL COST: $91
LABOR: 1.5 HR",$166.00 ,3-BOTH ARMS,checked
ET-14073-H,Amazon,Arm Frame 006,Arm Frame 006,,,2,Machine,,checked,MTL IN HOUSE,"WELD-STAINLESS STEEL
MTL COST: $91
LABOR: 0.5 HR",$116.00 ,3-BOTH ARMS,checked
ET-14073-H,Amazon,Arm Frame 002,Arm Frame 002,,,2,Machine,,checked,MTL IN HOUSE,"WELD-STAINLESS STEEL
MTL COST: $91
LABOR: 0.5 HR",$116.00 ,3-BOTH ARMS,checked
ET-14073-H,Amazon,Arm Frame 003,Arm Frame 003,,,2,Machine,,checked,MTL IN HOUSE,"WELD-STAINLESS STEEL
MTL COST: $91
LABOR: 1.5 HR",$166.00 ,3-BOTH ARMS,checked
ET-14073-H,Amazon,Arm Frame 001,Arm Frame 001,,,2,Machine,,checked,MTL IN HOUSE,"WELD-STAINLESS STEEL
MTL COST: $91
LABOR: 1.5 HR",$166.00 ,3-BOTH ARMS,checked
ET-14073-H,Amazon,Lift pad,Lift pad,,,4,Machine,,checked,MTL IN HOUSE,WELD-STAINLESS STEEL,$116.00 ,3-BOTH ARMS,checked
